Command line: spell_chain.py
Total duration: 187.91s
File: G:\Autres\DofusDamageCalculator\stats.py
File duration: 56.683s (30.16%)
Line #|      Hits|         Time| Time per hit|      %|Source code
(call)|         1|            0|            0|  0.00%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:88 __setitem__
    13|         1|            0|            0|  0.00%|    AGILITY = 3
(call)|         1|            0|            0|  0.00%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:88 __setitem__
    14|         1|            0|            0|  0.00%|    NEUTRAL = 4
(call)|         1|            0|            0|  0.00%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:88 __setitem__
    15|         0|            0|            0|  0.00%|
    16|         3|            0|            0|  0.00%|class Damages(str, Enum):
(call)|         1|            0|            0|  0.00%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:164 __prepare__
(call)|         2|            0|            0|  0.00%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:88 __setitem__
(call)|         1|   0.00199509|   0.00199509|  0.00%|# G:\Autres\DofusDamageCalculator\stats.py:16 Damages
(call)|         1|   0.00299597|   0.00299597|  0.00%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:179 __new__
    17|         1|            0|            0|  0.00%|    POWER = 9
(call)|         1|            0|            0|  0.00%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:88 __setitem__
    18|         1|            0|            0|  0.00%|    BASIC = 5
(call)|         1|            0|            0|  0.00%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:88 __setitem__
    19|         1|            0|            0|  0.00%|    CRIT = 8
(call)|         1|  0.000969887|  0.000969887|  0.00%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:88 __setitem__
    20|         1|            0|            0|  0.00%|    EARTH = 0
(call)|         1|            0|            0|  0.00%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:88 __setitem__
    21|         1|            0|            0|  0.00%|    FIRE = 1
(call)|         1|            0|            0|  0.00%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:88 __setitem__
    22|         1|            0|            0|  0.00%|    WATER = 2
(call)|         1|            0|            0|  0.00%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:88 __setitem__
    23|         1|            0|            0|  0.00%|    AIR = 3
(call)|         1|            0|            0|  0.00%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:88 __setitem__
    24|         1|            0|            0|  0.00%|    NEUTRAL = 4
(call)|         1|            0|            0|  0.00%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:88 __setitem__
    25|         1|            0|            0|  0.00%|    SPELL = 6
(call)|         1|            0|            0|  0.00%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:88 __setitem__
    26|         1|            0|            0|  0.00%|    WEAPON = 7
(call)|         1|            0|            0|  0.00%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:88 __setitem__
    27|         1|            0|            0|  0.00%|    WEAPON_POWER = 10
(call)|         1|            0|            0|  0.00%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:88 __setitem__
    28|         1|            0|            0|  0.00%|    RANGE = 12
(call)|         1|            0|            0|  0.00%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:88 __setitem__
    29|         1|    0.0010252|    0.0010252|  0.00%|    MELEE = 13
(call)|         1|            0|            0|  0.00%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:88 __setitem__
    30|         1|            0|            0|  0.00%|    FINAL = 11
(call)|         1|            0|            0|  0.00%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:88 __setitem__
    31|         0|            0|            0|  0.00%|
    32|         0|            0|            0|  0.00%|
    33|         3|            0|            0|  0.00%|class Stats:
(call)|         1|            0|            0|  0.00%|# G:\Autres\DofusDamageCalculator\stats.py:33 Stats
    34|    172089|      0.33433|  1.94277e-06|  0.18%|    def __init__(self) -> None:
    35|    172088|     0.427134|  2.48207e-06|  0.23%|        self.characteristics: Dict[Characteristics, int] = dict()
    36|    172088|     0.424087|  2.46436e-06|  0.23%|        self.damages: Dict[Characteristics, int] = dict()
    37|    172088|     0.388229|  2.25599e-06|  0.21%|        self.bonus_crit_chance = 0.0
    38|    172088|     0.373031|  2.16767e-06|  0.20%|        self.name = ''
    39|    172088|     0.372808|  2.16638e-06|  0.20%|        self.short_name = ''
    40|         0|            0|            0|  0.00%|
    41|    172088|      1.21554|  7.06347e-06|  0.65%|        self._fill_empty_dicts()
(call)|    172088|      48.5926|   0.00028237| 25.86%|# G:\Autres\DofusDamageCalculator\stats.py:43 _fill_empty_dicts
    42|         0|            0|            0|  0.00%|
    43|    172089|      0.34528|   2.0064e-06|  0.18%|    def _fill_empty_dicts(self):
    44|   1032528|       7.4177|  7.18401e-06|  3.95%|        for characteristic in Characteristics:
(call)|    172088|       0.8362|  4.85914e-06|  0.44%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:434 __iter__
(call)|   1032528|      4.23294|  4.09959e-06|  2.25%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:438 <genexpr>
    45|    860440|      1.99153|  2.31454e-06|  1.06%|            self.characteristics[characteristic] = 0
    46|         0|            0|            0|  0.00%|
    47|   2581320|      16.9255|  6.55692e-06|  9.01%|        for damage in Damages:
(call)|    172088|     0.820737|  4.76928e-06|  0.44%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:434 __iter__
(call)|   2581320|      10.4402|  4.04451e-06|  5.56%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:438 <genexpr>
    48|   2409232|      5.58249|  2.31713e-06|  2.97%|            self.damages[damage] = 0
    49|         0|            0|            0|  0.00%|
    50|         1|            0|            0|  0.00%|    def to_dict(self):
    51|         0|            0|            0|  0.00%|        return {
    52|         0|            0|            0|  0.00%|            'characteristics': self.characteristics,
    53|         0|            0|            0|  0.00%|            'damages': self.damages,
    54|         0|            0|            0|  0.00%|            'bonus_crit_chance': self.bonus_crit_chance,
    55|         0|            0|            0|  0.00%|            'name': self.name,
    56|         0|            0|            0|  0.00%|            'short_name': self.short_name
    57|         0|            0|            0|  0.00%|        }
    58|         0|            0|            0|  0.00%|
    59|         1|            0|            0|  0.00%|    def to_compact_string(self, indentation: str = ''):
    60|         0|            0|            0|  0.00%|        output_lines = []
    61|         0|            0|            0|  0.00%|        characteristic_lines = []
    62|         0|            0|            0|  0.00%|        for characteristic in Characteristics:
    63|         0|            0|            0|  0.00%|            if characteristic == Characteristics.NEUTRAL:
    64|         0|            0|            0|  0.00%|                continue
    65|         0|            0|            0|  0.00%|            if self.get_characteristic(characteristic) != 0:
    66|         0|            0|            0|  0.00%|                characteristic_lines.append(f'{indentation * 2}{characteristic.name}: {self.get_characteristic(characteristic)}')
    67|         0|            0|            0|  0.00%|        if characteristic_lines:
    68|         0|            0|            0|  0.00%|            output_lines.append(f'{indentation}-> Characteristics')
    69|         0|            0|            0|  0.00%|            output_lines.extend(characteristic_lines)
    70|         0|            0|            0|  0.00%|
    71|         0|            0|            0|  0.00%|        damage_lines = []
    72|         0|            0|            0|  0.00%|        for damage in Damages:
    73|         0|            0|            0|  0.00%|            if self.get_damage(damage) != 0:
    74|         0|            0|            0|  0.00%|                damage_lines.append(f'{indentation * 2}{damage.name}: {self.get_damage(damage)}')
    75|         0|            0|            0|  0.00%|        if damage_lines:
    76|         0|            0|            0|  0.00%|            output_lines.append(f'{indentation}-> Damages')
    77|         0|            0|            0|  0.00%|            output_lines.extend(damage_lines)
    78|         0|            0|            0|  0.00%|
    79|         0|            0|            0|  0.00%|        if self.bonus_crit_chance > 0.0:
    80|         0|            0|            0|  0.00%|            output_lines.append(f'{indentation}-> Bonus crit chance: {100 * self.bonus_crit_chance:.0f} %')
    81|         0|            0|            0|  0.00%|
    82|         0|            0|            0|  0.00%|        return '\n'.join(output_lines) if output_lines else None
    83|         0|            0|            0|  0.00%|
    84|         0|            0|            0|  0.00%|
    85|         1|            0|            0|  0.00%|    def save_to_file(self, filepath):
    86|         0|            0|            0|  0.00%|        json_valid_data = self.to_dict()
    87|         0|            0|            0|  0.00%|
    88|         0|            0|            0|  0.00%|        with open(filepath, 'w', encoding='utf-8') as fo:
    89|         0|            0|            0|  0.00%|            json.dump(json_valid_data, fo)
    90|         0|            0|            0|  0.00%|
    91|         0|            0|            0|  0.00%|
    92|     57361|     0.140138|  2.44309e-06|  0.07%|    def __add__(self, other: 'Stats'):
    93|     57360|     0.166724|  2.90663e-06|  0.09%|        if isinstance(other, int):  # Useful when doing stats + sum([]) - No matter the integer, return the stats
    94|         0|            0|            0|  0.00%|            return Stats.from_existing(self)
    95|     57360|      0.12855|   2.2411e-06|  0.07%|        elif not isinstance(other, Stats):
    96|         0|            0|            0|  0.00%|            raise TypeError(f"unsupported operand type(s) for +: 'Stats' and '{type(other)}'.")
    97|         0|            0|            0|  0.00%|
    98|     57360|     0.409052|  7.13131e-06|  0.22%|        result = Stats()
(call)|     57360|      17.2616|  0.000300935|  9.19%|# G:\Autres\DofusDamageCalculator\stats.py:34 __init__
    99|    344160|      2.52631|   7.3405e-06|  1.34%|        for characteristic in Characteristics:
(call)|     57360|     0.265368|  4.62636e-06|  0.14%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:434 __iter__
(call)|    344160|      1.48327|  4.30984e-06|  0.79%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:438 <genexpr>
   100|    286800|     0.759804|  2.64925e-06|  0.40%|            if characteristic != Characteristics.NEUTRAL:
   101|    229440|     0.634304|  2.76457e-06|  0.34%|                result.characteristics[characteristic] = self.characteristics[characteristic] + other.characteristics[characteristic]
   102|         0|            0|            0|  0.00%|
   103|    860400|      5.83365|  6.78016e-06|  3.10%|        for damage in Damages:
(call)|     57360|     0.255038|  4.44626e-06|  0.14%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:434 __iter__
(call)|    860400|       3.4749|  4.03871e-06|  1.85%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:438 <genexpr>
   104|    803040|      2.10806|   2.6251e-06|  1.12%|            result.damages[damage] = self.damages[damage] + other.damages[damage]
   105|         0|            0|            0|  0.00%|
   106|     57360|     0.159071|   2.7732e-06|  0.08%|        result.bonus_crit_chance = self.bonus_crit_chance + other.bonus_crit_chance
   107|     57360|     0.115226|  2.00883e-06|  0.06%|        result.name = self.name
   108|         0|            0|            0|  0.00%|
   109|     57360|     0.145574|   2.5379e-06|  0.08%|        return result
   110|         0|            0|            0|  0.00%|
   111|         1|            0|            0|  0.00%|    def __radd__(self, other):
   112|         0|            0|            0|  0.00%|        if other == 0:
   113|         0|            0|            0|  0.00%|            return self
   114|         0|            0|            0|  0.00%|        else:
   115|         0|            0|            0|  0.00%|            return self + other
   116|         0|            0|            0|  0.00%|
   117|         0|            0|            0|  0.00%|
   118|     76481|     0.142045|  1.85726e-06|  0.08%|    def get_characteristic(self, characteristic):
   119|     76480|     0.175775|  2.29831e-06|  0.09%|        if not isinstance(characteristic, Characteristics):
   120|         0|            0|            0|  0.00%|            raise TypeError(f"'{characteristic} is not a valid characteristic.")
   121|         0|            0|            0|  0.00%|
   122|     76480|     0.151581|  1.98197e-06|  0.08%|        return self.characteristics[characteristic]
   123|         0|            0|            0|  0.00%|
   124|         1|            0|            0|  0.00%|    def set_characteristic(self, characteristic, value):
   125|         0|            0|            0|  0.00%|        if not isinstance(characteristic, Characteristics):
   126|         0|            0|            0|  0.00%|            raise TypeError(f"'{characteristic} is not a valid characteristic.")
   127|         0|            0|            0|  0.00%|
   128|         0|            0|            0|  0.00%|        if characteristic == Characteristics.NEUTRAL:
   129|         0|            0|            0|  0.00%|            raise TypeError('Neutral caracteritics cannot be changed on its own.')
   130|         0|            0|            0|  0.00%|
   131|         0|            0|            0|  0.00%|        if not isinstance(value, int):
   132|         0|            0|            0|  0.00%|            raise TypeError(f"Value should be an int ('{value}' of type '{type(value)}' given instead).")
   133|         0|            0|            0|  0.00%|
   134|         0|            0|            0|  0.00%|        self.characteristics[characteristic] = value
   135|         0|            0|            0|  0.00%|
   136|         0|            0|            0|  0.00%|        if characteristic == Characteristics.STRENGTH:
   137|         0|            0|            0|  0.00%|            self.characteristics[Characteristics.NEUTRAL] = value
   138|         0|            0|            0|  0.00%|
   139|         0|            0|            0|  0.00%|
   140|    497121|     0.866812|  1.74366e-06|  0.46%|    def get_damage(self, damage):
   141|    497120|      1.20127|  2.41646e-06|  0.64%|        if not isinstance(damage, Damages):
   142|         0|            0|            0|  0.00%|            raise TypeError(f"'{damage} is not a valid damage.")
   143|         0|            0|            0|  0.00%|
   144|    497120|      1.14912|  2.31156e-06|  0.61%|        return self.damages[damage]
   145|         0|            0|            0|  0.00%|
   146|         1|            0|            0|  0.00%|    def set_damage(self, damage, value):
   147|         0|            0|            0|  0.00%|        if not isinstance(damage, Damages):
   148|         0|            0|            0|  0.00%|            raise TypeError(f"'{damage}' is not a valid damage.")
   149|         0|            0|            0|  0.00%|
   150|         0|            0|            0|  0.00%|        if not isinstance(value, int):
   151|         0|            0|            0|  0.00%|            raise TypeError(f"Value should be an int ('{value}' of type '{type(value)}' given instead).")
   152|         0|            0|            0|  0.00%|
   153|         0|            0|            0|  0.00%|        self.damages[damage] = value
   154|         0|            0|            0|  0.00%|
   155|         0|            0|            0|  0.00%|
   156|         1|            0|            0|  0.00%|    def get_bonus_crit_chance(self):
   157|         0|            0|            0|  0.00%|        return self.bonus_crit_chance
   158|         0|            0|            0|  0.00%|
   159|         1|            0|            0|  0.00%|    def set_bonus_crit_chance(self, bonus_crit_chance):
   160|         0|            0|            0|  0.00%|        if not (isinstance(bonus_crit_chance, float) or isinstance(bonus_crit_chance, int)):
   161|         0|            0|            0|  0.00%|            raise TypeError(f"Bonus crit chance is not a float ('{bonus_crit_chance}' of type '{type(bonus_crit_chance)}' given instead).")
   162|         0|            0|            0|  0.00%|
   163|         0|            0|            0|  0.00%|        if not (0.0 <= bonus_crit_chance <= 1.0):
   164|         0|            0|            0|  0.00%|            raise ValueError(f"Bonus crit chance should be between 0 and 1 inclusive ('{bonus_crit_chance}' given instead).")
   165|         0|            0|            0|  0.00%|
   166|         0|            0|            0|  0.00%|        self.bonus_crit_chance = float(bonus_crit_chance)
   167|         0|            0|            0|  0.00%|
   168|         1|            0|            0|  0.00%|    def get_name(self):
   169|         0|            0|            0|  0.00%|        return self.name
   170|         0|            0|            0|  0.00%|
   171|         1|            0|            0|  0.00%|    def set_name(self, name):
   172|         0|            0|            0|  0.00%|        if name == '':
   173|         0|            0|            0|  0.00%|            name = 'Unnamed stats'
   174|         0|            0|            0|  0.00%|
   175|         0|            0|            0|  0.00%|        self.name = str(name)
   176|         0|            0|            0|  0.00%|
   177|         0|            0|            0|  0.00%|
   178|         1|            0|            0|  0.00%|    def get_short_name(self):
   179|         0|            0|            0|  0.00%|        return self.short_name
   180|         0|            0|            0|  0.00%|
   181|         1|            0|            0|  0.00%|    def get_safe_name(self):
   182|         0|            0|            0|  0.00%|        return re.sub(r'\W', '_', self.short_name)
   183|         0|            0|            0|  0.00%|
   184|         1|            0|            0|  0.00%|    def set_short_name(self, short_name):
   185|         0|            0|            0|  0.00%|        if short_name == '':
   186|         0|            0|            0|  0.00%|            short_name = str(uuid1())
   187|         0|            0|            0|  0.00%|
   188|         0|            0|            0|  0.00%|        self.short_name = str(short_name)
   189|         0|            0|            0|  0.00%|
   190|         0|            0|            0|  0.00%|
   191|         1|            0|            0|  0.00%|    def copy(self):
   192|         0|            0|            0|  0.00%|        return Stats.from_existing(self)
   193|         0|            0|            0|  0.00%|
   194|     19121|    0.0349078|  1.82563e-06|  0.02%|    @classmethod
   195|         1|            0|            0|  0.00%|    def from_existing(cls, other_stats: 'Stats'):
   196|         0|            0|            0|  0.00%|        # This function does not use the getters and setters to minimize the execution time
   197|     19120|     0.135765|   7.1007e-06|  0.07%|        stats = Stats()
(call)|     19120|      5.71793|  0.000299055|  3.04%|# G:\Autres\DofusDamageCalculator\stats.py:34 __init__
   198|         0|            0|            0|  0.00%|
   199|    114720|     0.855716|  7.45917e-06|  0.46%|        for characteristic in Characteristics:
(call)|     19120|      0.11309|  5.91473e-06|  0.06%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:434 __iter__
(call)|    114720|     0.482688|  4.20753e-06|  0.26%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:438 <genexpr>
   200|     95600|     0.235412|  2.46247e-06|  0.13%|            stats.characteristics[characteristic] = other_stats.characteristics[characteristic]
   201|         0|            0|            0|  0.00%|
   202|    286800|      1.94239|  6.77263e-06|  1.03%|        for damage in Damages:
(call)|     19120|    0.0928671|  4.85707e-06|  0.05%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:434 __iter__
(call)|    286800|      1.14846|  4.00441e-06|  0.61%|# C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py:438 <genexpr>
   203|    267680|     0.672279|   2.5115e-06|  0.36%|            stats.damages[damage] = other_stats.damages[damage]
   204|         0|            0|            0|  0.00%|
   205|     19120|    0.0599582|  3.13589e-06|  0.03%|        stats.bonus_crit_chance = other_stats.bonus_crit_chance
   206|     19120|    0.0420184|  2.19762e-06|  0.02%|        stats.name = other_stats.name
   207|     19120|    0.0440133|  2.30195e-06|  0.02%|        stats.short_name = other_stats.short_name
   208|         0|            0|            0|  0.00%|
   209|     19120|    0.0477812|  2.49902e-06|  0.03%|        return stats
   210|         0|            0|            0|  0.00%|
   211|         0|            0|            0|  0.00%|
   212|         1|            0|            0|  0.00%|    @classmethod
   213|         1|            0|            0|  0.00%|    def check_json_validity(cls, json_data):
   214|         0|            0|            0|  0.00%|        for key in ('characteristics', 'damages', 'name', 'bonus_crit_chance', 'short_name'):
   215|         0|            0|            0|  0.00%|            if not key in json_data:
   216|         0|            0|            0|  0.00%|                raise KeyError(f"JSON string does not contain a '{key}' key.")
   217|         0|            0|            0|  0.00%|
   218|         0|            0|            0|  0.00%|        for characteristic in Characteristics:
   219|         0|            0|            0|  0.00%|            if not characteristic in json_data['characteristics']:
   220|         0|            0|            0|  0.00%|                raise KeyError(f"JSON string 'characteristics' array does not contains '{characteristic}'.")
   221|         0|            0|            0|  0.00%|
   222|         0|            0|            0|  0.00%|        if json_data['characteristics'][Characteristics.NEUTRAL] != json_data['characteristics'][Characteristics.STRENGTH]:
   223|         0|            0|            0|  0.00%|            raise ValueError("Neutral and Strength characteristics have to be equal.")
   224|         0|            0|            0|  0.00%|
   225|         0|            0|            0|  0.00%|        for damage in Damages:
   226|         0|            0|            0|  0.00%|            if not damage in json_data['damages']:
   227|         0|            0|            0|  0.00%|                raise KeyError(f"JSON string 'damages' array does not contains '{damage}'.")
   228|         0|            0|            0|  0.00%|
   229|         1|            0|            0|  0.00%|    @classmethod
   230|         1|            0|            0|  0.00%|    def from_json_string(cls, json_string):
   231|         0|            0|            0|  0.00%|        json_data = json.loads(json_string)
   232|         0|            0|            0|  0.00%|        Stats.check_json_validity(json_data)
   233|         0|            0|            0|  0.00%|
   234|         0|            0|            0|  0.00%|        stats = Stats()
   235|         0|            0|            0|  0.00%|
   236|         0|            0|            0|  0.00%|        for characteristic in Characteristics:
   237|         0|            0|            0|  0.00%|            if characteristic != Characteristics.NEUTRAL:
   238|         0|            0|            0|  0.00%|                stats.set_characteristic(characteristic, json_data['characteristics'][characteristic])
   239|         0|            0|            0|  0.00%|
   240|         0|            0|            0|  0.00%|        for damage in Damages:
   241|         0|            0|            0|  0.00%|            stats.set_damage(damage, json_data['damages'][damage])
   242|         0|            0|            0|  0.00%|
   243|         0|            0|            0|  0.00%|        stats.set_bonus_crit_chance(json_data['bonus_crit_chance'])
   244|         0|            0|            0|  0.00%|        stats.set_name(json_data['name'])
   245|         0|            0|            0|  0.00%|        stats.set_short_name(json_data['short_name'])
   246|         0|            0|            0|  0.00%|
   247|         0|            0|            0|  0.00%|        return stats
   248|         0|            0|            0|  0.00%|
   249|         1|            0|            0|  0.00%|    @classmethod
   250|         1|            0|            0|  0.00%|    def from_file(cls, filepath):
   251|         0|            0|            0|  0.00%|        if not (os.path.isfile(filepath) and os.access(filepath, os.R_OK)):
   252|         0|            0|            0|  0.00%|            raise FileNotFoundError(f"Cannot create stats from file {filepath}: file not found or innaccessible.")
   253|         0|            0|            0|  0.00%|
   254|         0|            0|            0|  0.00%|        with open(filepath, 'r', encoding='utf-8') as fi:
   255|         0|            0|            0|  0.00%|            json_string = fi.read()
   256|         0|            0|            0|  0.00%|
   257|         0|            0|            0|  0.00%|        return Stats.from_json_string(json_string)
   258|         0|            0|            0|  0.00%|
   259|         1|            0|            0|  0.00%|    @classmethod
   260|         1|            0|            0|  0.00%|    def from_dict(cls, data):
   261|         0|            0|            0|  0.00%|        return Stats.from_json_string(json.dumps(data))
File: C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.3312.0_x64__qbz5n2kfra8p0\lib\enum.py
File duration: 40.581s (21.60%)
Line #|      Hits|         Time| Time per hit|      %|Source code
------+----------+-------------+-------------+-------+-----------
     1|         0|            0|            0|  0.00%|import sys
     2|         0|            0|            0|  0.00%|from types import MappingProxyType, DynamicClassAttribute
     3|         0|            0|            0|  0.00%|
     4|         0|            0|            0|  0.00%|
     5|         0|            0|            0|  0.00%|__all__ = [
     6|         0|            0|            0|  0.00%|        'EnumMeta',
     7|         0|            0|            0|  0.00%|        'Enum', 'IntEnum', 'Flag', 'IntFlag',
     8|         0|            0|            0|  0.00%|        'auto', 'unique',
     9|         0|            0|            0|  0.00%|        ]
    10|         0|            0|            0|  0.00%|
    11|         0|            0|            0|  0.00%|
    12|        22|            0|            0|  0.00%|def _is_descriptor(obj):
    13|         0|            0|            0|  0.00%|    """
    14|         0|            0|            0|  0.00%|    Returns True if obj is a descriptor, False otherwise.
    15|         0|            0|            0|  0.00%|    """
    16|        22|            0|            0|  0.00%|    return (
    17|        44|            0|            0|  0.00%|            hasattr(obj, '__get__') or
    18|        22|            0|            0|  0.00%|            hasattr(obj, '__set__') or
    19|        22|            0|            0|  0.00%|            hasattr(obj, '__delete__')
    20|         0|            0|            0|  0.00%|            )
    21|         0|            0|            0|  0.00%|
    22|        34|            0|            0|  0.00%|def _is_dunder(name):
    23|         0|            0|            0|  0.00%|    """
    24|         0|            0|            0|  0.00%|    Returns True if a __dunder__ name, False otherwise.
    25|         0|            0|            0|  0.00%|    """
    26|        34|  0.000997782|  2.93465e-05|  0.00%|    return (
    27|        75|            0|            0|  0.00%|            len(name) > 4 and
    28|        29|            0|            0|  0.00%|            name[:2] == name[-2:] == '__' and
    29|        12|            0|            0|  0.00%|            name[2] != '_' and
    30|        12|            0|            0|  0.00%|            name[-3] != '_'
    31|         0|            0|            0|  0.00%|            )
    32|         0|            0|            0|  0.00%|
    33|        34|            0|            0|  0.00%|def _is_sunder(name):
    34|         0|            0|            0|  0.00%|    """
    35|         0|            0|            0|  0.00%|    Returns True if a _sunder_ name, False otherwise.
    36|         0|            0|            0|  0.00%|    """
    37|        34|            0|            0|  0.00%|    return (
    38|        80|            0|            0|  0.00%|            len(name) > 2 and
    39|        34|            0|            0|  0.00%|            name[0] == name[-1] == '_' and
    40|        12|            0|            0|  0.00%|            name[1:2] != '_' and
    41|         3|            0|            0|  0.00%|            name[-2:-1] != '_'
